,name,team,salary,position
334,백승민,삼성 라이온즈,4500만원,내야수(좌투좌타)
335,이수민,삼성 라이온즈,2700만원,투수(좌투좌타)
336,박계범,삼성 라이온즈,5500만원,내야수(우투우타)
337,송준석,삼성 라이온즈,4000만원,외야수(좌투좌타)
338,최선호,삼성 라이온즈,3800만원,외야수(좌투좌타)
339,구준범,삼성 라이온즈,2800만원,투수(좌투좌타)
340,김재현,삼성 라이온즈,5500만원,내야수(우투우타)
341,배성근,롯데 자이언츠,3200만원,내야수(우투우타)
342,오윤석,롯데 자이언츠,4000만원,내야수(우투우타)
343,문동욱,한화 이글스,3200만원,투수(우투좌타)
344,이창진,KIA 타이거즈,8500만원,외야수(우투우타)
345,이인복,롯데 자이언츠,3000만원,투수(우투우타)
346,김재열,KIA 타이거즈,2700만원,투수(우투우타)
347,김유영,롯데 자이언츠,6200만원,투수(좌투좌타)
348,이은총,KIA 타이거즈,2900만원,외야수(우투좌타)
349,강한울,삼성 라이온즈,12000만원,내야수(우투좌타)
350,박서준,KIA 타이거즈,2900만원,투수(우투우타)
351,차명진,KIA 타이거즈,3600만원,투수(우투우타)
352,박찬호,KIA 타이거즈,10500만원,내야수(우투우타)
353,박준태,키움 히어로즈,4500만원,외야수(우투좌타)
354,이진경,KIA 타이거즈,2900만원,포수(우투우타)
355,박진두,KIA 타이거즈,2900만원,내야수(좌투좌타)
356,노태형,한화 이글스,2700만원,내야수(우투좌타)
357,지성준,롯데 자이언츠,5700만원,포수(우투우타)
358,최영환,롯데 자이언츠,3400만원,투수(우투우타)
359,서균,한화 이글스,4500만원,투수(우언양타)
360,황영국,한화 이글스,2900만원,투수(좌투좌타)
361,박한길,롯데 자이언츠,3200만원,투수(우투우타)
362,조영우,SK 와이번스,3300만원,투수(우투좌타)
363,김민수,삼성 라이온즈,4300만원,포수(우투우타)
364,이승진,두산 베어스,4700만원,투수(우투우타)
365,이건욱,SK 와이번스,3000만원,투수(우투우타)
366,조용호,KT 위즈,7000만원,외야수(우투좌타)
367,박규민,KT 위즈,2700만원,투수(우투우타)
368,유서준,SK 와이번스,3100만원,내야수(우투우타)
369,박민호,SK 와이번스,10000만원,투수(우언우타)
370,이진석,LG 트윈스,2900만원,외야수(우투우타)
371,서동민,SK 와이번스,3000만원,투수(우투우타)
372,나세원,SK 와이번스,2700만원,외야수(좌투우타)
373,강민국,KT 위즈,4000만원,내야수(우투우타)
374,강장산,KT 위즈,3300만원,투수(우투우타)
375,박대온,NC 다이노스,3000만원,포수(우투우타)
376,김태진,KIA 타이거즈,9000만원,내야수(우투좌타)
377,배재환,NC 다이노스,10500만원,투수(우투우타)
378,김태훈,KT 위즈,2900만원,내야수(우투좌타)
379,홍성무,NC 다이노스,2900만원,투수(우투우타)
380,김만수,KT 위즈,3100만원,포수(우투우타)
381,김민수,KT 위즈,6500만원,투수(우투우타)
382,엄상백,상무 ,8000만원,투수(우언우타)
383,이창재,KT 위즈,4200만원,투수(좌투좌타)
384,정성곤,KT 위즈,7500만원,투수(좌투좌타)
385,주권,KT 위즈,15000만원,투수(우투우타)
386,김재윤,KT 위즈,12000만원,투수(우투우타)
387,정주후,KT 위즈,3000만원,내야수(우투좌타)
388,백승현,LG 트윈스,3400만원,내야수(우투우타)
389,이상규,LG 트윈스,2900만원,투수(우투우타)
390,박성준,LG 트윈스,3000만원,내야수(우투우타)
391,김재성,LG 트윈스,3100만원,포수(우투좌타)
392,박지규,LG 트윈스,4000만원,내야수(우투좌타)
393,박성민,NC 다이노스,2700만원,투수(좌투좌타)
394,신민재,LG 트윈스,5000만원,내야수(우투좌타)
395,채지선,두산 베어스,2800만원,투수(우투좌타)
396,남경호,두산 베어스,2700만원,투수(우투우타)
397,김은성,키움 히어로즈,2900만원,내야수(우투우타)
398,최원태,키움 히어로즈,37000만원,투수(우투우타)
399,김택형,SK 와이번스,3700만원,투수(좌투좌타)
400,박주현,키움 히어로즈,4000만원,투수(우투우타)
401,송성문,상무 ,7500만원,내야수(우투좌타)
402,송우현,키움 히어로즈,2700만원,외야수(좌투좌타)
403,김정인,키움 히어로즈,3200만원,투수(우투우타)
